Course,Marital status,Displaced,Tuition fees up to date,Gender,Scholarship holder,Daytime/evening attendance,Curricular units 2nd sem (grade),Curricular units 1st sem (grade),Age at enrollment,Target
2,1,1,1,1,0,1,0.0,0.0,20,1
11,1,1,0,1,0,1,13.666666666666666,14.0,19,0
5,1,1,0,1,0,1,0.0,0.0,19,1
15,1,1,1,0,0,1,12.4,13.428571428571429,20,0
12,1,1,1,0,1,1,14.345,13.3,18,0
11,1,1,0,1,0,1,0.0,0.0,22,1
10,1,0,1,0,1,1,14.142857142857142,13.875,21,0
10,1,1,0,0,0,1,13.5,11.4,18,1
14,1,1,1,0,0,1,14.2,12.333333333333334,18,0
12,1,1,1,0,1,1,13.214285714285714,13.214285714285714,18,0
16,1,1,1,0,0,1,0.0,0.0,19,1
11,1,1,1,0,1,1,11.0,10.571428571428571,21,0
6,1,1,1,0,1,1,12.0,13.25,18,0
15,1,1,1,0,0,1,0.0,13.2,20,1
12,1,1,1,0,0,1,14.545,13.30625,18,0
8,1,1,1,0,0,1,12.25,12.5,20,0
2,1,0,1,0,1,1,0.0,0.0,21,0
12,1,1,1,0,0,1,12.857142857142858,12.857142857142858,18,0
14,1,1,1,0,1,1,12.285714285714286,13.375,19,0
12,1,0,1,0,0,1,14.114285714285714,13.296666666666669,19,0
10,1,1,1,0,0,1,13.285714285714286,11.375,21,0
9,1,1,1,0,0,1,12.333333333333334,12.0,20,0
5,1,1,1,1,0,1,13.4,12.833333333333334,20,0
3,1,1,1,0,0,0,14.375,12.666666666666666,19,0
17,1,0,1,1,0,0,13.428571428571429,12.4,34,0
8,1,0,0,0,0,1,12.0,11.666666666666666,20,1
15,1,0,1,0,0,1,0.0,12.75,18,1
9,1,1,1,0,0,1,15.8,14.8,22,0
12,1,1,1,0,0,1,14.342857142857142,13.928,22,0
15,1,0,0,0,0,1,13.8,13.0,20,1
17,1,0,1,0,0,0,0.0,0.0,29,1
10,1,1,1,0,0,1,13.2,11.666666666666666,18,0
12,1,1,1,0,1,1,13.771428571428572,13.516666666666666,22,0
3,1,0,1,0,1,0,13.285714285714286,11.5,21,0
10,1,0,1,0,1,1,12.833333333333334,12.333333333333334,19,0
11,1,0,1,0,1,1,14.166666666666666,13.666666666666666,24,0
8,1,0,1,0,0,1,15.8,14.714285714285714,19,0
17,1,0,1,0,0,0,11.0,10.6,27,1
12,1,1,1,0,0,1,13.595,13.044444444444444,18,0
8,1,1,1,0,0,1,12.9,13.0,27,1
12,1,1,1,0,0,1,14.935,14.935,18,0
12,1,0,1,0,0,1,12.221428571428572,13.133333333333333,18,0
10,1,0,1,0,1,1,12.0,12.0,21,0
12,4,1,1,1,0,1,11.0,11.9,29,1
2,1,1,1,1,1,1,0.0,0.0,19,0
4,1,1,1,1,0,1,12.428571428571429,12.571428571428571,23,0
9,1,0,1,1,0,1,10.75,11.2,19,1
12,1,0,1,1,0,1,13.75,11.975,24,0
2,1,1,1,1,0,1,0.0,0.0,19,1
11,1,1,1,1,0,1,12.0,11.666666666666666,18,1
15,1,1,1,1,0,1,12.333333333333334,12.333333333333334,18,0
9,1,1,1,1,0,1,10.857142857142858,10.333333333333334,18,1
11,1,1,1,1,1,1,11.0,10.5,21,1
15,1,1,1,1,1,1,13.333333333333334,13.666666666666666,19,0
12,1,0,1,1,1,1,15.055555555555555,14.842857142857142,22,0
3,2,0,1,1,0,0,11.666666666666666,12.0,33,0
16,1,1,1,1,0,1,12.2,12.2,20,1
4,1,0,1,1,0,1,13.3,12.166666666666666,24,1
3,2,1,1,0,0,0,11.0,11.0,33,0
12,1,1,1,0,1,1,13.08,13.08,22,0
14,1,0,1,0,1,1,11.6,10.5,25,0
5,1,1,1,1,0,1,11.2,10.666666666666666,20,0
12,1,0,1,1,0,1,0.0,0.0,24,1
15,1,1,0,0,0,1,13.5,14.0,21,0
8,1,0,1,0,0,1,0.0,12.0,26,1
15,1,1,1,0,0,1,13.333333333333334,13.666666666666666,18,0
12,1,1,1,0,1,1,14.47777777777778,13.75,18,0
12,1,1,0,0,0,1,0.0,11.96,19,1
6,1,0,1,0,0,1,13.4,12.875,21,1
2,1,1,1,0,0,1,0.0,0.0,20,0
16,1,1,1,0,0,1,0.0,0.0,19,1
5,1,0,1,0,0,1,12.272727272727272,13.0,20,0
10,1,1,1,0,0,1,0.0,0.0,19,1
6,1,1,1,0,0,1,13.25,14.2,20,1
12,1,1,1,0,0,1,12.3,13.266666666666666,20,1
10,1,1,1,0,0,1,15.0,13.857142857142858,18,0
6,1,1,1,0,0,1,12.8,13.4,19,0
15,1,1,1,0,0,1,12.571428571428571,12.666666666666666,18,0
12,1,1,1,0,0,1,12.516666666666666,12.516666666666666,18,1
6,1,0,1,0,0,1,11.4,13.142857142857142,18,0
9,1,0,1,0,0,1,14.0,12.6,18,0
11,1,1,1,0,0,1,11.0,11.0,21,1
9,1,1,1,0,0,1,11.25,10.8,19,0
2,1,0,1,0,0,1,0.0,0.0,19,1
14,1,0,1,0,1,1,14.2,12.8,19,0
6,1,1,1,0,0,1,12.2,14.166666666666666,19,0
13,1,1,1,0,0,1,0.0,12.1,19,1
6,1,1,1,0,0,1,13.77777777777778,14.166666666666666,20,0
10,1,1,1,0,0,1,13.666666666666666,13.0,18,0
12,1,1,1,0,0,1,15.011111111111113,13.467142857142855,19,0
12,1,1,1,0,1,1,13.742857142857144,13.2375,18,1
5,1,1,1,0,0,1,13.0,12.333333333333334,18,0
9,1,1,1,0,0,1,14.6,12.4,19,0
12,1,1,1,0,0,1,0.0,14.0,19,1
10,1,0,1,0,0,1,11.714285714285714,11.666666666666666,20,0
14,1,0,0,0,1,1,12.5,12.0,19,1
14,1,1,1,0,0,1,11.5,12.2,20,0
15,1,0,1,0,1,1,14.833333333333334,14.833333333333334,18,0
12,1,0,1,0,0,1,17.5875,17.125,18,0
12,1,1,1,0,0,1,12.666666666666666,12.666666666666666,19,0
15,1,1,1,0,1,1,12.0,12.666666666666666,19,0
10,1,1,1,0,1,1,11.5,11.333333333333334,19,0
12,1,1,1,0,1,1,12.33125,13.605,19,0
16,1,1,1,0,1,1,10.8,12.0,19,0
11,1,1,1,0,0,1,0.0,0.0,19,1
11,1,1,1,0,0,1,11.666666666666666,11.2,20,1
9,1,0,1,0,0,1,14.166666666666666,13.375,18,0
12,1,0,1,0,1,1,14.178571428571429,13.863333333333337,20,0
6,1,0,1,0,0,1,13.4,12.4,19,0
16,1,1,1,0,0,1,11.8,13.333333333333334,18,0
16,1,1,1,0,0,1,10.0,12.666666666666666,21,1
16,1,0,1,0,0,1,11.5,12.0,19,1
9,1,0,1,0,1,1,11.8,10.6,18,0
10,1,1,1,0,1,1,11.857142857142858,12.25,18,0
10,1,1,1,0,0,1,11.833333333333334,11.0,20,0
3,1,0,1,0,1,0,12.6,11.0,24,0
14,1,0,1,0,0,1,13.0,13.166666666666666,19,1
12,1,1,1,0,1,1,12.761111111111113,12.855555555555554,18,0
12,1,1,1,0,0,1,15.355,14.91875,18,0
16,1,1,1,0,0,1,11.0,11.5,21,1
14,1,0,1,0,0,1,14.2,14.2,19,0
15,1,0,1,0,1,1,13.0,12.5,19,0
10,1,0,1,0,0,1,11.0,11.666666666666666,19,0
12,1,0,1,0,0,1,14.257142857142856,14.257142857142856,29,0
10,1,1,1,0,0,1,11.333333333333334,12.0,21,1
13,1,0,1,0,0,1,13.5625,12.457142857142856,20,0
12,1,1,1,0,0,1,11.683333333333332,11.683333333333332,19,0
3,1,0,1,0,0,0,12.0,11.666666666666666,26,0
11,1,1,0,0,0,1,13.166666666666666,11.75,20,1
16,1,0,1,0,0,1,12.0,13.2,27,0
12,1,1,1,0,0,1,11.95,11.95,20,1
16,1,1,1,0,0,1,10.4,12.4,18,1
12,1,0,1,0,0,1,14.583333333333334,14.35,33,1
15,1,0,0,0,0,1,0.0,12.0,27,1
5,1,1,0,0,0,1,0.0,12.166666666666666,19,1
11,1,0,1,0,0,1,0.0,0.0,20,1
9,1,1,0,0,0,1,10.571428571428571,10.0,20,1
12,1,1,1,0,1,1,13.05,13.05,18,0
6,1,1,1,0,0,1,0.0,11.0,24,1
5,1,1,1,0,0,1,12.0,11.5,20,0
11,1,0,1,0,1,1,12.5,12.0,21,0
9,1,1,1,0,0,1,0.0,0.0,24,1
16,1,0,1,0,0,1,0.0,0.0,21,1
12,1,1,1,0,0,1,12.242857142857144,12.242857142857144,18,0
17,1,1,1,0,0,0,0.0,0.0,27,1
12,1,1,1,0,0,1,12.93375,12.93375,18,0
16,1,0,1,0,0,1,14.428571428571429,12.571428571428571,18,0
6,1,1,1,0,0,1,14.333333333333334,13.75,19,0
10,1,1,1,0,0,1,11.333333333333334,11.166666666666666,20,0
12,1,1,1,0,0,1,12.324285714285711,12.324285714285711,18,0
10,1,0,1,0,0,1,11.714285714285714,12.166666666666666,21,0
10,1,0,1,0,1,1,11.25,11.142857142857142,18,0
10,1,1,1,0,0,1,10.75,11.0,18,0
12,1,1,1,0,0,1,12.914285714285713,12.914285714285713,18,0
15,1,1,1,0,1,1,14.166666666666666,13.833333333333334,18,0
6,1,1,1,0,0,1,13.4,13.857142857142858,19,0
12,1,1,1,0,1,1,12.642857142857142,12.642857142857142,18,0
12,1,0,1,0,1,1,12.916666666666666,12.916666666666666,18,0
8,1,1,1,0,1,1,15.857142857142858,15.625,20,0
17,1,0,1,0,1,0,0.0,0.0,26,1
15,1,0,1,0,0,1,12.0,11.714285714285714,21,0
9,1,1,1,0,1,1,11.6,11.6,19,0
3,1,1,1,0,0,0,0.0,10.0,24,1
3,1,0,1,0,1,0,0.0,10.0,27,1
6,1,0,1,0,0,1,13.5,0.0,21,1
9,1,0,1,0,1,1,12.333333333333334,13.0,18,0
16,2,0,1,0,1,1,14.5,13.333333333333334,19,0
11,1,1,1,0,0,1,12.5,11.25,18,1
12,1,0,1,0,1,1,12.19285714285714,13.85,19,0
12,1,1,1,0,1,1,14.9125,13.741666666666667,19,0
17,2,0,1,0,0,0,15.8,15.333333333333334,33,0
10,1,0,1,0,1,1,12.857142857142858,12.0,20,0
14,1,1,1,0,0,1,0.0,0.0,28,1
12,1,1,1,0,1,1,11.571428571428571,11.571428571428571,19,0
11,1,1,1,0,0,1,12.666666666666666,12.857142857142858,18,0
14,1,0,1,0,0,1,13.2,13.0,19,0
11,1,0,1,0,1,1,12.0,11.0,21,0
9,1,0,1,0,0,1,15.0,12.0,21,1
10,1,0,1,0,1,1,13.0,12.6,22,0
16,1,0,1,0,1,1,13.166666666666666,13.4,18,0
10,1,0,1,0,1,1,11.571428571428571,11.333333333333334,18,0
8,1,1,0,0,0,1,14.25,13.5,25,1
6,1,0,0,0,0,1,10.333333333333334,11.75,24,1
9,1,1,1,0,1,1,13.6,11.6,20,0
9,1,0,0,0,0,1,0.0,0.0,25,1
9,1,0,1,0,1,1,12.363636363636363,12.9,20,0
12,1,0,1,0,0,1,13.22,13.22,23,0
12,1,1,1,0,1,1,13.151428571428571,13.151428571428571,19,0
4,1,0,0,0,0,1,11.333333333333334,12.75,29,1
11,1,1,1,0,0,1,12.25,11.333333333333334,21,0
14,1,1,1,0,1,1,14.142857142857142,13.25,18,0
15,1,1,1,0,1,1,12.833333333333334,15.0,18,1
6,1,0,1,0,0,1,13.0,14.4,19,0
